k,scenario,mode,mismatch_rate,coverage
3,recon,single,0.956,0.044
3,priv,single,0.597,0.403
3,recon,multi,0.421,0.579
3,priv,multi,0.058,0.942
5,recon,single,0.978,0.022
5,priv,single,0.638,0.362
5,recon,multi,0.467,0.533
5,priv,multi,0.094,0.906
7,recon,single,0.985,0.015
7,priv,single,0.758,0.242
7,recon,multi,0.516,0.484
7,priv,multi,0.16,0.84
9,recon,single,0.989,0.011
9,priv,single,0.819,0.181
9,recon,multi,0.558,0.442
9,priv,multi,0.196,0.804
11,recon,single,0.991,0.009
11,priv,single,0.855,0.145
11,recon,multi,0.598,0.402
11,priv,multi,0.222,0.778
